con,locus,end,L,sym,cid,orth,rna
700_8,100177.10.peg.1,21119,290,,4,,
700_8,100177.10.peg.10,13781,-506,,1099,2,
700_8,100177.10.peg.11,13139,-629,,949,1,
700_8,100177.10.peg.12,12643,284,,1395,1,
700_8,100177.10.peg.13,10307,-857,,649,,
700_8,100177.10.peg.14,9271,-845,,649,,
700_8,100177.10.peg.15,8661,-155,,-1,,
700_8,100177.10.peg.16,7675,-719,,835,3,
700_8,100177.10.peg.18,5537,-812,,632,4,
700_8,100177.10.peg.19,5550,431,,500,,
700_8,100177.10.peg.20,5105,452,,348,,
700_8,100177.10.peg.21,4675,203,,1260,,
700_8,100177.10.peg.22,4351,563,,861,,
700_8,100177.10.peg.24,3655,242,,1163,,
700_8,100177.10.peg.25,2743,-221,,-1,,
700_8,100177.10.peg.26,2169,-581,,256,,
700_8,100177.10.peg.27,1793,-350,,-1,,
700_8,100177.10.peg.28,1599,-179,,-1,,
700_8,100177.10.peg.29,1319,-170,,-1,,
700_8,100177.10.peg.3,20281,224,,-1,,
700_8,100177.10.peg.30,1005,-278,,-1,,
700_8,100177.10.peg.31,659,-230,,-1,,
700_8,100177.10.peg.32,672,371,,576,,
700_8,100177.10.peg.5,18971,-503,,922,1,
700_8,100177.10.peg.6,16968,-1073,,1,17,
700_8,100177.10.peg.7,16395,-563,,2,24,
700_8,100177.10.peg.8,15661,-758,,3,14,
700_8,100177.10.peg.9,15045,-599,,4,8,
700_31,100177.11.peg.10,7322,776,,755,1,
700_31,100177.11.peg.11,8402,1037,,480,1,
700_31,100177.11.peg.12,9157,695,,831,1,
700_31,100177.11.peg.13,10379,1229,,333,1,
700_31,100177.11.peg.14,11097,725,,818,1,
700_31,100177.11.peg.15,12158,1037,,483,4,
700_31,100177.11.peg.16,12608,-833,,-1,,
700_31,100177.11.peg.17,13811,-158,,-1,,
700_31,100177.11.peg.18,14280,-284,,-1,,
700_31,100177.11.peg.19,14598,-179,,-1,,
700_31,100177.11.peg.20,15821,689,,280,,
700_31,100177.11.peg.21,16349,425,,1193,,
700_31,100177.11.peg.22,16359,-776,,624,,
700_31,100177.11.peg.23,18142,575,,911,,
700_31,100177.11.peg.24,19141,971,,182,,
700_31,100177.11.peg.26,20043,752,,776,,
700_31,100177.11.peg.28,21061,857,,776,,
700_31,100177.11.peg.29,21124,-272,,1208,,
700_31,100177.11.peg.3,1798,593,,598,,
700_31,100177.11.peg.30,21651,-269,,-1,,
700_31,100177.11.peg.31,22182,233,,926,,
700_31,100177.11.peg.32,22451,266,,274,,
700_31,100177.11.peg.33,22612,194,,-1,,
700_31,100177.11.peg.34,22679,-161,,-1,,
700_31,100177.11.peg.35,22949,-194,,-1,,
700_31,100177.11.peg.36,23290,-755,,772,,
700_31,100177.11.peg.37,24384,-152,,-1,,
700_31,100177.11.peg.39,25144,242,,1475,1,
700_31,100177.11.peg.40,25338,-182,,-1,,
700_31,100177.11.peg.41,26018,176,,-1,,
700_31,100177.11.peg.42,27031,743,,882,4,
700_31,100177.11.peg.5,2247,-596,,4,14,
700_31,100177.11.peg.6,2889,-737,,3,12,
700_31,100177.11.peg.7,3599,-581,,2,27,
700_31,100177.11.peg.8,4177,-950,,306,5,
700_31,100177.11.peg.9,6494,809,,713,1,
700unitig_12,100177.4.peg.1,1,-308,,335,1,
700unitig_12,100177.4.peg.10,4629,-419,,1212,1,
700unitig_12,100177.4.peg.100,103046,1730,,145,1,
700unitig_12,100177.4.peg.101,103857,767,,63,1,
700unitig_12,100177.4.peg.102,107053,3203,,14,1,
700unitig_12,100177.4.peg.103,108895,1835,,123,1,
700unitig_12,100177.4.peg.104,109948,1034,,489,1,
700unitig_12,100177.4.peg.105,110060,-623,,904,1,
700unitig_12,100177.4.peg.106,110691,-578,,1010,1,
